text,label
"Phim này dở ẹc, hiệu ứng đạo cụ rẻ tiền, tôi muốn đòi lại tiền.",1
"Xem xong chán ngắt, đạo diễn không có tâm, tôi rất thất vọng.",1
"Phim này phí thời gian, cốt truyện nhàm chán, tôi rất thất vọng.",1
"Xem xong dở ẹc, kịch bản lỏng lẻo, đừng phí thời gian.",1
"Bộ phim phí thời gian, đạo diễn không có tâm, tôi không thể xem hết.",1
"Phim này không thể chấp nhận được, âm nhạc không phù hợp, không nên xem.",1
"Tác phẩm tồi tệ, cốt truyện nhàm chán, đừng phí thời gian.",1
"Bộ phim tồi tệ, đạo diễn không có tâm, đừng phí thời gian.",1
"Xem xong không thể chấp nhận được, cốt truyện nhàm chán, tôi muốn đòi lại tiền.",1
"Phim này tồi tệ, cốt truyện nhàm chán, tôi rất thất vọng.",1
"Bộ phim quá tệ, đạo diễn không có tâm, tôi rất thất vọng.",1
"Phim này tồi tệ, đạo diễn không có tâm, tôi rất thất vọng.",1
"Xem xong dở ẹc, đạo diễn không có tâm, đừng phí thời gian.",1
"Xem phim phí thời gian, diễn viên diễn như gỗ, tôi không thể xem hết.",1
"Xem phim quá tệ, kịch bản lỏng lẻo, tôi rất thất vọng.",1
"Bộ phim không có gì hay, âm nhạc không phù hợp, tôi muốn đòi lại tiền.",1
"Xem xong chán ngắt, âm nhạc không phù hợp, không nên xem.",1
"Phim này chán ngắt, kịch bản lỏng lẻo, không nên xem.",1
"Bộ phim quá tệ, kịch bản lỏng lẻo, đừng phí thời gian.",1
"Xem phim chán ngắt, kịch bản lỏng lẻo, tôi không thể xem hết.",1
"Bộ phim quá tệ, diễn viên diễn như gỗ, tôi muốn đòi lại tiền.",1
"Xem phim dở ẹc, diễn viên diễn như gỗ, tôi rất thất vọng.",1
"Bộ phim không có gì hay, kịch bản lỏng lẻo, tôi không thể xem hết.",1
"Phim này không thể chấp nhận được, cốt truyện nhàm chán, không nên xem.",1
"Phim này phí thời gian, đạo diễn không có tâm, tôi không thể xem hết.",1
"Xem phim không có gì hay, hiệu ứng đạo cụ rẻ tiền, tôi không thể xem hết.",1
"Xem phim không có gì hay, đạo diễn không có tâm, tôi không thể xem hết.",1
"Tác phẩm phí thời gian, hiệu ứng đạo cụ rẻ tiền, tôi không thể xem hết.",1
"Xem xong tồi tệ, âm nhạc không phù hợp, tôi muốn đòi lại tiền.",1
"Bộ phim dở ẹc, đạo diễn không có tâm, tôi rất thất vọng.",1
"Phim này tồi tệ, kịch bản lỏng lẻo, tôi không thể xem hết.",1
"Tác phẩm kinh khủng, âm nhạc không phù hợp, tôi không thể xem hết.",1
"Bộ phim không có gì hay, kịch bản lỏng lẻo, tôi không thể xem hết.",1
"Bộ phim không thể chấp nhận được, hiệu ứng đạo cụ rẻ tiền, đừng phí thời gian.",1
"Phim này kinh khủng, đạo diễn không có tâm, không nên xem.",1
"Phim này không có gì hay, đạo diễn không có tâm, không nên xem.",1
"Xem phim không có gì hay, kịch bản lỏng lẻo, đừng phí thời gian.",1
"Bộ phim phí thời gian, cốt truyện nhàm chán, tôi muốn đòi lại tiền.",1
"Tác phẩm tồi tệ, kịch bản lỏng lẻo, đừng phí thời gian.",1
"Tác phẩm phí thời gian, cốt truyện nhàm chán, tôi không thể xem hết.",1
"Tác phẩm không có gì hay, cốt truyện nhàm chán, tôi muốn đòi lại tiền.",1
"Phim này kinh khủng, âm nhạc không phù hợp, tôi muốn đòi lại tiền.",1
"Xem phim chán ngắt, diễn viên diễn như gỗ, không nên xem.",1
"Xem xong quá tệ, âm nhạc không phù hợp, đừng phí thời gian.",1
"Tác phẩm tồi tệ, kịch bản lỏng lẻo, không nên xem.",1
"Phim này tồi tệ, đạo diễn không có tâm, không nên xem.",1
"Xem xong kinh khủng, cốt truyện nhàm chán, tôi rất thất vọng.",1
"Xem xong dở ẹc, âm nhạc không phù hợp, tôi rất thất vọng.",1
"Xem phim phí thời gian, kịch bản lỏng lẻo, không nên xem.",1
"Tác phẩm tồi tệ, âm nhạc không phù hợp, không nên xem.",1
"Bộ phim không có gì hay, kịch bản lỏng lẻo, không nên xem.",1
