text,label
…. với một fim rất là tâm lý xã hội đã lấy nước mắt của tôi rất nhiều lần mặc dù tôi biết đây là đóng fim nhưng các diễn viên đã đóng quá xuất sắc khiến tôi không cầm được dòng lệ cứ tuôn trào ..,5
@__chúc mừng e trấn Thành  Bộ phim tc cảm động nhiều y nghĩa của  cuộc sống  .và hài hước,5
<3 Cảm ơn những bộ phim hay và ý nghĩa,5
❤ phim rất hay chân thật và đời thường. Rất cảm động khi Trấn Thành nhập vai,5
❤❤❤❤❤🎉🎉 nhưng người cha chững tính lại chút nữa thì càn hay,4
❤❤❤Bộ phim rất đời thực luôn í,4
🎉 hay quá ạ mong chú Trấn Thành ra nhiều phim như này nx ạ🥳🤩,5
🤣 mình coi hơi trễ nhưng hay thật sự,5
🥰🥰🥰 phim hay nhất luôn,5
🥺hên là có 1 cái kết đẹp🥺,4
😂😂😂😂😂😂phim hay ý nghĩa xuất sắc,5
😂😂😂😂😂phim hay lắm á,5
😉❤❤❤✌Phim ngắn nhưng đầy ý nghĩa,5
😢 khúc đưa quà tui đã khóc,5
😢😢😢xem mà khóc luôn,5
😭😭 đoạn cuối súc động quá,5
"06/11/2023 có ACE nào đang xem bộ phim này ko ạ? Đây là ý kiến của mình ạ. Đợt bộ phim “ Bố Già” chiếu rạp nhiều người đi xem cũng chê bộ phim này xem có gì đâu mà khóc vậy, làm màu hay thảo mai,… đấy là các bạn chưa rơi vào hoàn cảnh của nhân vật trong bộ phim và đang có 1 gia đình đầy đủ hạnh phúc chưa xảy ra biến cố gì nên cảm thấy bình thường chưa chạm đến trái tim của các bạn . Còn đối với mình, mình cảm ơn ekip vs tất cả diễn viên và a Trấn Thành đã tạo ra 1 sản phẩm rất hay . Năm 2018 mình sang Nhật làm việc,1 mình sang 1 đất nước mới mẻ thời gian đầu rất nhớ nhà cũng tự hứa với bản mỗi năm về thăm bố mẹ vs gia đình 1 lần. Và đầu năm 2020 mình về Việt Nam thăm gia đình và hứa với Bố Mẹ sang năm về cả nhà đi du lịch Bố Mẹ vui lắm . Rồi đùng cái năm 2021 Bố bị ho rồi lên viện khám thì bác sĩ bảo bị ung thư phổi giai đoạn 3 nên cho lên viện 108 , lên đó Bác Sĩ báo bị ung thư chỉ còn sống vài tháng thôi. Lúc đó mình đang ở bên Nhật nghe tin từ a trai báo mà cảm giác ko thể diễn tả nổi. Xong nghĩ để  về nhà chăm sóc Bố  mà thời gian đó dịch bệnh covit cách ly các kiểu, máy bay thỉnh thoảng có 1 chuyến giải cứu công dân về nước nên ko thể về được , chỉ gọi điện facetime nói chuyện và động viên Bố . Thời gian dịch bệnh đi viện rất khó khăn chỉ 1 người ở lại chăm sóc, và trong vòng vỏn vẹn 2 tháng từ lúc nghe tin Bố bị bệnh là Bố mất. Sáng sớm a trai nhắn cho 1 tin “ Bố mất rồi e” lúc đó đứng hình nước mắt cứ rơi . Và ngày Bố mất cũng ko về được cảm giác bất lực, bất hiếu.. Mỗi khi nhớ Bố lại mở phim” Bố Già” xem và khóc rất nhiều , khóc nhất là đoạn diễn viên Tuấn Trần hỏi mọi người có bức ảnh chụp chung nào ko ? Và mình có đúng 1 bức ảnh chụp cùng Bố ở sân bay hôm Bố tiễn . Con cảm ơn Bố nhiều lắm ạ. Cảm ơn Bố đã là Bố của con ạ..",5
1 bọ phim gói gọn trong 1 giấc mơ .phim hay,4
1 bộ film cực kỳ nhảm nhí nhất mà mình từng xem,1
1 bộ hay đáng suy ngâm,4
1 bộ phim dậy cho ta đủ điều cần phải học hỏi,5
1 bộ phim đã đạt đến trái tim của khán giả xem lại vẫn thấy hay .mà tiếc là k đoạt giải .mình xem phim k bàn về đòi tư của nghệ sĩ nha,5
1 bộ phim hay ạ,4
1 bộ phim hay nhất tôi từng xem,5
1 bộ phim hay và ý nghĩa ^^,5
1 bộ phim lấy đi nước mắt quá nhìu...quá hây.,5
1 bộ phim nói về gia đình hay nhất mà tui từng xem....tuyệt vời,5
"1 bộ phim rất hay và thật là ý nghĩa xin cảm ơn  cả ,1 a kíp đã cho e được biết trân trọng những người thân xung quanh đặc biệt là những người trong gia đình",5
1 bộ phim xem đi xem lại lấy rắn nhiều nước mắt mik 🥺🥺,5
1 câu chuyện gđ ý nghĩa,5
1 giấc mơ khá tốn nước mắt,5
1 giấc mơ quá đẹp phim quá hay,5
1 ng chay lì cảm xúc như tui....coi bộ pim này củg pải lưg tròg nước mắt....cảm ơn 1 giấc mơ dài của trấn thàh ..có rất nhìu cảm xúc mà bộ pim mag lại...,5
1 tác phẩm rất hay và nhân văn,5
1 tác phẩm rất hay và nhân văn .Là một câu chuyện mang rất nhiều ý tố xã hội vào trong đây❤,5
1 tay a trấn thành làm nên tất cả nố chung là phim tuyệt vời nếu có sai trính tả đừng nói tui ngu nha,5
1 từ ĐỈNH❤️,5
1 từ thoi hayyy❤,4
