text,label
"chẳng biết bà này sao nữa, người bị sao phải hỏi cho rõ, báo cảnh sát làm gì, đến mức phải chờ 20 năm mới giải được nỗi oan.",3
Phim bình thường mà,3
xem lại mấy lần vẫn thấy cảm động,5
Tôi thấy ông bố ko có ý đồ gì đâu! Chỉ vì muốn mua cặp cho con mà phải đi tù!😢,3
Mình nhớ đợt dịch cả nhà đang kiếm phim coi thì vô tình thấy phim nay. Ban đầu mình chả đặt kì vọng gì về phim nghĩ là coi chơi nhưng khi hết phim cả nhà ai cũng khóc😢,5
"Phim này có 3 thằng khốn nạn , 1  giám đốc sở cảnh sát , 2 là thằng luật sư , 3 là thằng quan tòa bạn của thằng giám đốc",3
Huhu phim hay của tôi muốn khóc vừa rồi mà không tôi khóc luôn rồi 😭😭😭,5
Xin lỗi t kh khóc đc,3
Riêng tôi ko khóc😅,3
Tôi đã khóc rất nhiều…,5
Xem review thôi cũng cảm động,4
Sự thật quá phủ phàng,3
Xúc động quá😢😢😢😢 huhu,4
"Lần đầu mà xem review phim mà khóc quá.Lại nhớ đến bố mình mất hơn 8 năm rồi, hiện tại bản thân đang ở nơi xứ người phải xa gia đình",5
Đây là một trong những bộ phim mà tôi không muốn quên😢,5
Má xem tức thật..,3
Xem lần thứ 3 vẫn khóc k trượt phát nào :(,5
"1 THẰNG UỐNG RƯỢU HIẾP DÂM THÌ CHỈ BỊ PHẠT 12 NĂM, CÒN 1 ÔNG THIỂU NĂNG BỊ XỬ TỬ",2
"Xem 10 lần rồi mà mình đều phải rơi lệ, một bộ phim quá hay",5
Thương ông bố quá😢😢 xót thật nó lại là một câu chuyện có thật😢😢😢😢😢😢 xem xong tôi khóc rất nhiều 😢😢😢😢😢😢,5
,
,
,
,
❤❤❤ phim cảm động quá,4
người cha khờ đó chết thì con ông cành sát sống lại ha gì á . Ác nhất phim là ông cảnh sát mất con luôn má😢,2
"Ủa nhưng cô bé kia có bị hãm hiếp hay không thì giám định cũng phải biết chứ, điều này thật điên rồ",2
xem hope xong rồi xem phim này cứ cấn cấn :)),2
Tưởng không hay mà hay không tưởng! Rất hay!,5
Xem lần nào cũng khóc😢,5
Phim quá hay!,5
Thật sự đánh giá cao phim 😢,5
Khóc luôn á 😭,5
,
"Vì sao ông cảnh sát biết rõ nguyên nhân con mình chết, vẫn cố vu oan cho người bố nhỉ! Phân đoạn ông đánh và nói khai ra, nếu k con gái người bố sẽ k đc yên đấy.",3
,
Thật sự là 1 bi kịch,4
khóc từ đầu 😢đến cuối,5
Xem khóc hết nước mắt 😢😢😢😢,5
,
tôi đã khóc khi xem xong bộ phim này đây là bộ phim có ý nghĩa sâu sắc nhất tôi từng xem😢😢,5
xem phim này nhiều lần r mà lần nào xem cũng khóc 😢,5
Xem khóc thật sự😊😊,5
Rồi rốt cuộc ai là thủ phạm,3
Giống hệt phim dặm xanh,3
Thật cảm động.tội cho những người thấp cổ bé họng.,4
Tôi xem mà rung rung nước mắt 😢,4
Xem lần thứ 5 rồi vẫn khóc huhu,5
Tội ông bố quá😢,4
