clean_text,label
một phim tâm lý xã hội lấy nước mắt tôi lần mặc dù tôi biết đóng phim diễn viên đóng quá xuất sắc khiến tôi cầm dòng lệ tuôn trào,4
chúc mừng em trấn thành bộ phim tình cảm cảm động ý nghĩa cuộc sống hài hước,4
cảm ơn bộ phim hay ý nghĩa,4
phim hay chân thật đời thường cảm động trấn thành nhập vai,4
người cha chững tính chút hay,3
bộ phim đời thực luôn ý,3
hay quá mong chú trấn thành phim,4
mình xem hơi trễ hay thật,4
phim hay nhất luôn,4
hên 1 kết đẹp,3
phim hay ý nghĩa xuất sắc,4
phim hay lắm,4
phim ngắn đầy ý nghĩa,4
khúc đưa quà tôi khóc,4
xem khóc luôn,4
đoạn cuối xúc động quá,4
anh chị em nào xem bộ phim ý kiến mình đợt bộ phim bố già chiếu rạp người đi xem chê bộ phim xem đâu khóc làm màu hay thảo mai đấy bạn rơi hoàn cảnh nhân vật trong bộ phim 1 gia đình đầy đủ hạnh phúc xảy biến cố cảm thấy bình thường chạm đến trái tim bạn còn đối mình mình cảm ơn ekip tất diễn viên anh trấn thành tạo 1 sản phẩm hay năm mình sang nhật làm 1 mình sang 1 đất nước mới mẻ thời gian đầu nhớ nhà tự hứa bản năm thăm bố mẹ gia đình 1 lần đầu năm mình việt nam thăm gia đình hứa bố mẹ sang năm nhà đi du lịch bố mẹ vui lắm đùng năm bố ho viện khám bác sĩ bảo ung thư phổi giai đoạn 3 viện 108 bác sĩ báo ung thư còn sống vài tháng thôi mình ở bên nhật nghe tin anh trai báo cảm giác thể diễn tả nổi xong nghĩ nhà chăm sóc bố thời gian dịch bệnh covit cách ly kiểu máy bay thỉnh thoảng 1 chuyến giải cứu công dân nước thể gọi điện facetime nói động viên bố thời gian dịch bệnh đi viện khó khăn 1 người ở chăm sóc trong vòng vỏn vẹn 2 tháng nghe tin bố bệnh bố mất sáng sớm anh trai nhắn 1 tin bố mất em đứng hình nước mắt rơi ngày bố mất cảm giác bất lực bất hiếu nhớ bố mở phim bố già xem khóc khóc nhất đoạn diễn viên tuấn trần hỏi mọi người bức ảnh chụp chung nào mình đúng 1 bức ảnh chụp bố ở sân bay hôm bố tiễn con cảm ơn bố lắm cảm ơn bố bố con,4
1 bộ phim gói gọn trong 1 giấc mơ phim hay,3
1 bộ phim cực kỳ nhảm nhí nhất mình xem,0
1 bộ hay đáng suy ngẫm,3
1 bộ phim dậy ta đủ điều cần phải học hỏi,4
1 bộ phim đạt đến trái tim khán giả xem thấy hay tiếc đoạt giải mình xem phim bàn đòi tư nghệ sĩ nha,4
1 bộ phim hay,3
1 bộ phim hay nhất tôi xem,4
1 bộ phim hay ý nghĩa,4
1 bộ phim lấy đi nước mắt quá quá hây,4
1 bộ phim nói gia đình hay nhất tôi xem tuyệt vời,4
1 bộ phim hay thật ý nghĩa xin cảm ơn 1 anh kíp em biết trân trọng người thân xung quanh đặc biệt người trong gia đình,4
1 bộ phim xem đi xem lấy rắn nước mắt mình,4
1 câu gia đình ý nghĩa,4
1 giấc mơ khá tốn nước mắt,4
1 giấc mơ quá đẹp phim quá hay,4
1 mọi người chay lì cảm xúc tôi xem bộ pim lưg tròg nước mắt cảm ơn 1 giấc mơ dài trấn thàh cảm xúc bộ pim mag,4
1 tác phẩm hay nhân văn,4
1 tác phẩm hay nhân văn một câu mang ý tố xã hội trong,4
1 tay anh trấn thành làm tất nói chung phim tuyệt vời sai chính tả đừng nói tôi ngu nha,4
1 đỉnh,4
1 thôi hay,3
tuy mình xem 4 5 lần xúc động cách người cha nói đối xử nhẹ nhàng con gái ý y hệt ba đối mình dù khó nói ba dùng hành động yêu thương che chở mình thấy rõ chân thật nhất cảnh xin tiền học phí giống y chang cách nói ba mình dù xem bao lần cảm xúc thấy hình ảnh ba mình trong khóc tu vì xúc động gần cuối năm xem cảm xúc lần mới phim,4
xem nghĩ bố mình rớt nước mắt,4
chi tiết nhỏ đáng trân trọng cảm ơn phim,3
tưởng khúc xúc động lắm đâu ai ngờ phim hay lắm nha mặc dù kịch bản phim còn đơn giản siêu hay ý nghĩa luôn,4
xem đi xem 5 lần luôn,4
ai còn xem phim hay quá mình xem đi xem 4 5 lần,4
10 phút xem nuốt nỗi,0
10 năm xem phim bộ phim hay nhất tôi xem nước mắt nụ cười chốt 1 bộ phim huyền thoại,4
xem khóc hay lần đầu,4
còn xem cảm ơn anh tác phẩm nghệ thuật tuyệt vời vui buồn cải vã,4
xem nhà bà nữ ngoài rạp xong xem bố già lần 2 xúc đong đầy khoé mắt cay phim hay diễn viên tốt 10 điểm,4
nhà xem hai chị em khóc quá trời,4
xem tưởng thấy bình thường tới khúc cuối khóc mưa trời ơi hiểu tâm lý cha mẹ mới chạm tới cảm xúc công nhận tôi giỏi thật,4
1 giờ sáng tôi khóc một vài lần mới đúng,4
1 tiếng 45 ấm áp tình người,4
1 tuyệt phẩm yêu chú trấn thành,4
2 điểm chỗ,0
2 lần xem 2 lần đều rơi nước mắt yêu bố già quá đi,4
2 lần xem 2 lần lấy nước mắt tôi cười mệt luôn cười xỉu,4
2 năm bh con mới xem phim hay quá chú trấn thành ơi gia đình con 4 mọi người con em út anh 2 bame giống trong phim vại lusc anh kia bvien con rơi nước mắt giống thấy anh mình trong còn ba con giống chú trấn thành bh biểu lộ tcam anh 2 con nói lời yêu thương bên trong ba con yêu anh 2 con vô kiện anh trong bvien con tưởng tượng anh 2 con chắc con khóc đến nỗi chết mất dì con thương anh 2 con giống cị kia phim hay lắm,4
2 năm hay,3
cảm động thật,4
hay nha hề thấy diễn xíu nào,4
biết ai xem khóc,4
xem nghẹn lòng,4
tôi khóc xem tới,4
em hình dung cuốn quá mình xem đi xem mãi thôi ai giống mình một like,4
cảm ơn nghệ sĩ trấn thành nghệ sĩ trong phim phim hay nội dung gần cuộc sống hiện,4
còn ai xem nhỉ bộ phim hay quá trời thực chạm đến cảm xúc người xem mình xem khóc quá trời luôn,4
xem vẵn cảm xúc đông đầy rơi nước mắt,4
phim hay ai khen thấy toàn cmt tiêu cực sao,3
khóc phút đầu phim luôn ấy,4
thực biết ơn chú đem bộ phim hay,4
xem lần thứ n,4
lần khóc cười con dở người,4
ai còn xem phim thật ý nghĩa cam ơn đoàn phim,4
ai còn xem bây giờ xem hay,4
xem mê,4
xem khóc sướt mướt công nhận kịch bản trấn thành hay ý nghĩa đánh tâm lí hoàn cảnh cảm ơn anh vì bộ phim ý nghĩa,4
xem dịp rãnh hay ngày nào,4
xem hay,4
ai còn xem điểm danh tôi xem lần thứ 5 hay tuyệt vời,4
bắt đầu xem bố già hiểu lý phim đạt gần 500 tôi hay thiệt xuất sắc,4
mới thằng xem phim trấn thành thực hay ý nghĩa nói câu cuộc sống xh hiện thực,4
rơi xem khóc tu tu,4
xem nè khóc,4
xem rưng rưng,4
xem lần thứ 6 khóc,4
xem vì quá luỵ phim,4
xem còn khóc dù ai nói trấn thành nọ sao tôi thích trấn thành ngưỡng mộ tài năng anh ấy,4
bản thân đàn ông xem khóc oà sướt mướt phụ nữ thật mình rơi nước mắt trong khoảnh khắc thật tôi quá tài năng cảm ơn anh,4
29 tháng 3 xem xong 02 giờ 45 cảm xúc lần đầu xem rạp khóc cảm thấy gia đình trong câu tuy nhiên nghề nghiệp hơi khác tí,4
phim hay lắm,4
tôi xem bộ phim cảm xúc y nguyên ngày đầu đúng cảm giác lạ khiến bản thân cảm thấy trân trọng cuộc sống hơn tuy gia đình tôi hiện đầy đủ hạnh phúc trong quá khứ tôi một phần nào trải cảm nhận cảm xúc viết trong bộ phim cảm ơn ekip cảm ơn anh trấn thành vì khiến tôi cảm thấy quý trọng cuộc sống hơn,4
29 roten tomato ngớ ngẩn nhảm nhí chửi người ta hời hợt hộ anh ơi,0
3 nam xem khóc,4
xem khóc lần đầu,4
mình xem ở rạp đọng cảm xúc hnay xem 3 bài hát xem mới thấy bộ phim ý nghĩa sâu lắng thế nào,4
anh đức đóng phút cuối quá dở,0
anh thành anh đóng phim làm em khó chịu khó tả cảm ơn anh,3
anh thành làm phim quá đỉnh phim hài cảm động mún chớt,4
anh trấn thành ơi quá tuyệt vời nhân văn ý nghĩa anh,4
anh xìn diễn số 1 luôn tưởng ba em vote 5 anh xìn,4
anh xìn đóng hay quá đời thường thoại ngoai xa hội xem phim ngỡ phim cam ơn,4
adu phim te,0
ai xem khóc tôi mạnh mẽ lắm anh nhe tran thành quá đỉnh,4
ai diễn hay trừ trần thành hỏi nói diễn quá sory mắt tôi,1
ai khen trấn thành khen anh đức cười muốn xỉu,2
ai diển hay nhất trấn thành bái phục,4
ai giống tôi xem đi xem mấy lần,4
ai xem phim rơi nước mắt giống mình,4
ai nói nói chơ tôi xem khóc hoàng cảnh thiếu hụt mới hiểu cảm giác,4
ai nói cảm động khóc nọ sao mình thấy nó biết hay mình con nhà nghèo cảm thấy nó nvay biết mình cảm thấy vui xem phim nhất đoạn gần cuối ông ngủ dậy thấy hạnh phúc mọi người hoà đồng phân biệt,2
ai tung sog trong canh kho khan thi se cam nhan tung chi tiet trog bo phim nay cam on axin,3
ai xem cung khóc còn tôi chắc trãi nghuêmj thứ đau hơn chắc đủ kích thích khóc phim hay xem 2 lần,3
ảnh đại diện bà tân phim hay quá,4
anh đức diễn hài hước dễ thương siêu hài hay,3
anh làm em khóc hi hi,4
anh thành em thật thích phim em mong anh làm thêm phim chủ đề đi em nghĩ anh chú trọng thêm mặt tình cảm chèn thêm miếng hài khúc buồn hay lắm cá nhân em thích sản phẩm anh cám ơn anh thành,3
anh thành em nói thật lòng em anh diễn vai thật y chang cha em em bây giời em háo thắng lắm đời dạy em,4
anh tiến đạt diễn quá hay luôn,4
anh trấn thành vai người nghèo tình nịnh bợ quá xúc động hèn chi bộ phim thành công ở mỹ,3
ác cảm nhất xem gặp thằng cha giả giọng kiểu xem tới ông xuất hiện dẹp luôn,0
âm thanh lớn muốn banh nhà tới nhỏ nghe luôn thiết kế kì cục,0
âm thanh hình ảnh khớp,0
ba em đánh lộn hồi em xem phim em tìm mãi thấy em cảm động vì phim hay quá,4
ba em ý kiểu ông ấy thương em em cảm thấy nó em muốn kể em trải nó dài lắm kể bằng mồm cơ nói chung ba em tốt ông ấy kiếm tiền nuôi trong gia đình ông ấy đúng hoàng toàn ổng sai lắm ông ấy đánh mẹ mình vì áp lực gia đình ông ấy đánh mình nhờ ông ấy em mắc bệnh trầm cảm chính ổng làm em em tuyệt vọng suy sụp nhất ông ấy gác chửi em mày chết đi tao đánh mày chết tao giết mày mọi người cha khác họ chẳng đâu thật nói em chẳng biết nói bao nhiêu đủ ai thấy nhìn cách mọi mọi người muốn xem em đúng hay sai em cảm ơn em khóc xem bộ anh trong vai con trấn thành em hiện,4
bá láp đâm mông đít ma chảy máu miệng tệ lắm liệt 1 chân nó còn đứng vững nguy hiểm tính mạng,0
